Sample,SRR8937497,SRR8937498,SRR8937499,SRR8937500,SRR8937501,SRR8937502,SRR8937503,SRR8937504,SRR8937505,SRR8937506,SRR8937507,SRR8937508,SRR8937509,SRR8937510,SRR8937511,SRR8937512,SRR8937513,SRR8937514,SRR8937515,SRR8937516,SRR8937517,SRR8937519,SRR8937520,SRR8937521,SRR8937522,SRR8937523,SRR8937524,SRR8937525,SRR8937526,SRR8937527,SRR8937528,SRR8937529,SRR8937530,SRR8937531,SRR8937532,SRR8937533,SRR8937534,SRR8937535,SRR8937536,SRR8937537,SRR8937538,SRR8937540,SRR8937541,SRR8937542,SRR8937543,SRR8937544,SRR8937545,SRR8937546,SRR8937547,SRR8937548,SRR8937549,SRR8937551,SRR8937552,SRR8937553,SRR8937554,SRR8937555,SRR8937556,SRR8937557,SRR8937558,SRR8937559,SRR8937560,SRR8937561,SRR8937562,SRR8937563,SRR8937564,SRR8937565,SRR8937566,SRR8937567,SRR8937568,SRR8937569,SRR8937570,SRR8937571,SRR8937572,SRR8937573,SRR8937574,SRR8937575
Basal-NK-cell,5.110586729,9.800147248,3.875208165,5.884469661,5.843795491,8.928700281,3.883595594,4.776471655,3.800265063,5.430794394,15.68145436,7.948078047,5.996243644,7.587202205,7.73859213,5.483158603,8.740739804,7.069185849,3.773179879,4.498953202,3.437239322,3.809337179,6.451834783,6.263759122,4.458034939,5.556430747,2.233764314,4.426980425,7.216924682,4.310068319,6.201095119,6.261102569,8.050226822,5.530018441,6.007840321,4.843402209,3.638175582,4.175860768,4.477970282,6.880173485,4.7161335,5.751948981,5.749349317,6.877774785,7.442104595,6.159121228,5.344042086,8.859323349,6.083954284,5.612852615,7.286913708,7.083999567,6.173346707,6.99941457,8.013116016,9.176194455,6.479199633,4.376425629,4.610922212,6.982573416,7.297814572,5.131908501,6.786319041,6.621259329,7.802036191,6.906565785,3.580666593,7.302071084,6.245557773,5.139710208,6.127196257,6.826164356,4.601532713,5.876287276,5.822007867,7.666388344
NA-NK-cell,1.124199682,0,1.171510402,1.439650282,0.584274091,0.733010611,1.1094703,1.808755284,0.377531063,0,0,1.850767824,0,0,1.924258815,0.508599199,0.133457729,0,1.114152572,2.519558524,4.586664228,0.566651678,4.949234573,5.213978593,4.507416665,1.83687157,2.558953508,1.550245081,1.461690681,0.688247348,0.137010833,4.832641359,2.785891852,2.972691861,4.045624316,2.025542319,0.539510395,3.012201848,1.609937475,1.553292728,0,0.989952207,0,1.362918054,1.654193534,0.289721234,0.856567373,0.760809296,0.777395502,3.16978291,3.149818428,3.4448433,4.254401692,3.049018634,1.282217534,2.785472325,3.758026632,0,0.564740904,0.262440189,0.879563946,0.408264552,0.488030688,1.028830425,0,0.806756392,3.730080356,2.996280722,4.555178793,3.271743619,3.912815383,3.23748734,4.191824174,3.525354801,2.597653871,3.646500834
Basal-CD8-T-cell,0.821275859,0.432591457,2.764212495,1.224457327,0.844087568,0,1.205839086,2.40984846,2.438015689,0,0,0.473046499,0.15767668,0,6.570858224,1.504634776,0,1.623490263,1.070441527,1.188547818,0,2.149868135,0.623945797,3.040406999,0.363286336,1.322659765,1.525415648,2.467358739,2.280173743,0.651863056,0,3.874967808,1.82685049,1.101765501,1.680994166,2.95132476,0,2.863635221,3.068408263,0.645689596,2.992337273,3.133954283,1.107853278,3.009690856,2.027903707,2.568164724,1.351656249,0.867267058,3.624303875,0.819969319,1.288523014,1.063078316,0.843801667,0.831401852,1.163929129,0,0.212636981,1.916501915,1.05615606,2.760476292,1.02931871,3.405759708,0.911130331,3.423659589,2.57925933,1.846208432,2.855290832,0,1.461498743,2.615462139,2.059994949,1.381515172,2.557883971,1.490554272,3.871687868,2.215851567
NA-CD8-T-cell,5.416524866,0.842090634,3.450654055,3.349783,3.099520249,5.819796217,2.372495097,0.793670535,3.869795068,1.771027129,2.162788133,0,3.764070233,6.10758454,5.296744678,3.078934537,3.765102392,2.25464154,3.092254695,2.724513032,2.802137055,2.828671483,1.664519924,0,3.955410449,1.297041213,6.078226267,1.256323652,0.606308649,0,2.715530879,2.624202232,0,0.789656383,0.848009304,1.169027805,6.580563125,3.122867698,0.631331215,2.177222994,5.828461464,4.064357065,5.002156835,2.744605703,0.864047337,6.615002235,2.281708498,2.206360982,5.280863669,2.620121511,1.626072602,1.18226271,0.490627028,0.804446946,0.771652347,4.236308244,1.308450201,5.614258242,2.961951954,3.284551169,3.112611027,7.533688598,3.368492302,2.966156687,3.86090805,1.5235683,0,0.292014031,0,0,0,0,0,0,0,0
Basal-CD4-T-cell,4.533906348,3.135824546,8.01965218,5.505445657,5.613375987,4.96884666,6.820333722,8.283401144,2.638110339,8.233753383,3.033604466,7.795722927,0.392739763,2.622594602,3.817839162,8.032444459,3.186184343,2.778998934,3.96238872,6.111242252,8.1332167,6.526222603,8.954860888,8.818231456,6.334748196,8.048234196,4.224614131,5.093321575,5.73066404,8.945335756,7.735492109,7.479300294,9.71071186,12.02559486,11.31309276,10.22951355,7.192383824,10.8416534,9.628057704,8.686279673,1.550033239,1.740141886,3.292122229,5.860626368,6.402292909,3.572291915,3.614678369,2.317205811,2.551064214,7.533513972,5.880823334,9.639000322,7.489684608,7.046343421,1.414697344,6.026239821,6.115600496,0.084347927,3.187234852,2.158562504,3.887080142,4.79430224,4.62058525,3.132020441,1.323052059,3.685901593,9.069846327,10.0011525,10.00753061,4.278216128,4.769448501,6.373588453,9.880320044,7.873324436,7.483895775,8.702063449
NA-CD4-T-cell,5.905286866,13.44025293,6.605945487,10.78621542,6.412409647,7.514470327,9.534142257,9.702660044,4.904091679,12.6560856,11.29270808,10.36622805,7.693919681,4.075695544,5.46507147,6.985608016,9.245873089,5.535784162,4.715513209,3.624386205,5.007859642,2.476970455,2.695776489,8.43670979,4.893614825,4.323022829,0.015097041,3.773145985,2.384647305,7.797077846,5.7047701,0,1.713167878,0,0,0.860148484,4.272890947,0,4.708718042,3.852597508,3.993429905,0,0,0,1.44247004,0.453236132,2.50474195,3.421417038,0,0,0.261401702,0,1.279388218,0.625040976,4.635790656,0,0,3.665550215,1.760579608,5.225663261,3.836358617,0,2.949344037,2.77298253,5.00605474,2.411340218,0,0,0,0.477379979,0,0,0,0.223565544,0.820709,0.027790199
Basal-Mp1,4.424080915,3.439035371,1.923711752,3.211375968,3.838750835,4.684931768,2.330418266,3.873794436,1.417963829,2.208615119,5.412506261,3.461385826,1.968385198,4.86216945,0,3.785618994,5.633375735,2.591761981,7.834805588,7.460893767,7.978206635,3.42847421,3.882913346,4.307391399,11.01996499,2.6330431,2.495932827,6.17192652,0,0.881767005,1.117208152,0,0.569072154,0,1.092912962,2.170056993,4.909428969,0,0.38798374,0.577165998,0,0,0,0,0,0,0,0,0,0,0,0,0,1.861130997,0.475979708,3.406025559,3.987026804,0,0,0,0,0,0,0,0,0,0,1.801084769,4.169135048,0.030365517,0,1.782141614,0,2.653124527,1.995115054,0.213834121
NA-Mp1,1.62276489,6.636553545,1.473738631,0.274570943,2.524876227,0,0.13542835,0.141450949,0.987331114,5.147277871,7.364488927,5.01447336,2.961452638,0.564951408,2.363973736,0.864108279,2.614044726,3.150851362,3.077668695,1.580857631,0,2.076394306,1.539520379,2.704818857,4.076005149,3.74567411,0,2.412174103,2.301838167,3.570521557,3.208383484,1.440827707,5.981926289,5.851082778,5.782947901,3.943054971,1.545146079,3.0193971,4.153006466,4.027584089,1.760165288,3.387768697,3.817674536,4.105975457,3.388593987,2.548215872,2.878154037,4.387925245,3.724664415,4.768192051,6.165183035,4.834703698,5.94669529,5.689220946,6.045728846,6.138875104,7.378073513,1.186993791,2.459782515,2.069775938,2.960867962,2.561198499,3.293988957,4.484821897,2.706847005,3.393029071,4.78211805,4.462317795,4.68973437,4.165437865,3.914110816,4.249621851,4.562295036,3.539149422,2.924868086,4.55838468
Basal-Mp2,1.263770583,3.112130997,2.520244963,3.001481051,4.747222816,4.619008881,2.209553254,3.408732474,3.731785574,3.532742363,2.630017247,5.834543269,3.494822833,3.00816221,4.325974515,3.904828134,2.666774508,3.459026616,0.596778115,2.174359508,0.292801301,2.99992067,2.559920311,2.835777171,0.427376148,2.570915494,2.955433895,1.764021946,4.702770131,6.858275805,4.747006713,4.86135579,5.205682359,6.263174516,6.36002633,5.52995039,4.274016397,3.9315487,4.363953732,4.932376207,3.053895559,4.403536211,4.724328061,4.743143329,5.460731385,2.511819126,4.141880355,4.263864334,3.857322087,5.246602233,4.816064136,5.864109594,5.171216873,4.849281589,5.794502713,4.258634132,3.481098092,4.68842244,4.740961731,4.447360235,4.588504785,3.736511356,4.892754146,4.985383795,4.871526347,5.529311138,4.777807028,3.620149767,4.48926484,4.581238582,5.218187994,4.252986233,5.351724489,5.519127275,3.981401291,5.468711517
NA-Mp2,1.275130412,2.083743548,1.88156452,1.513004212,1.617578917,2.121076207,1.859143482,1.311968113,1.050855442,1.616663625,2.112844447,1.394218864,1.288857352,1.311480873,0.930470204,1.815296298,2.065208841,0.906569966,0.693924245,0.670092615,0.817352487,0.533422893,1.288284633,0.94003214,1.027123016,0.912244144,0.69395846,0.522009399,1.455616934,1.719852784,1.443576369,1.272739102,1.936107926,0.966926788,1.091686541,0.650199376,1.012239016,0.603164266,1.020096683,1.191918958,1.145296534,0.907531019,0.584335263,0.714302946,0.961590305,0.762579439,0.757257451,0.666829215,0.98277084,0.256359034,0.834958584,0.821092195,1.034551938,0.896005148,0.921805702,1.241333991,0.586019943,1.243755032,0.941343636,1.421607944,1.39261336,0.681159685,1.322595458,1.174104377,1.647260404,0.942423705,0.741091142,0.515809705,0.723426064,0.44139248,0.61365991,0.609411186,0.7421219,0.397001601,0.68849304,0.78922423
