NAME	Basal-NK-cell	NA-NK-cell	Basal-CD8-T-cell	NA-CD8-T-cell	Basal-CD4-T-cell	NA-CD4-T-cell	Basal-Mp1	NA-Mp1	Basal-Mp2	NA-Mp2	Basal-Mp3	NA-Mp3	Basal-Mp4	NA-Mp4	Basal-Mp5	NA-Mp5	Basal-NonInf-Mp	NA-NonInf-Mp	NA-Hep1	NA-Hep2	NA-Hep3	NA-Hep4	NA-Hep5	NA-LSEC1	NA-LSEC2	NA-Plasma	Basal-B-cell	NA-B-cell	NA-Chol
A1CF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	385.069620051207	470.54828121411	444.947091083736	333.659926427973	422.154499018019	1	1	1	1	1	221.840954705651
A2M.AS1	1	1	1	179.952159628373	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AADAC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	673.111567365962	873.014305088414	851.384303689863	607.7950239857	736.378761420612	1	1	1	1	1	66.6183761658707
AARS	1	1	1	1	1	1	43.9984729274609	1	1	1	25.4746866845183	1	1	1	1	1	1	1	1	1	154.725252280348	1	1	1	1	153.724620620107	1	1	1
AASS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	128.614589451517	183.87689655647	251.707353321204	1	120.248428941226	1	1	1	1	1	1
AATF	1	1	104.612758539629	1	1	1	53.6274081167843	1	47.393491777742	1	45.4950582029302	1	36.1980496560052	1	52.4322685477321	1	34.8277706923221	1	1	1	1	1	1	1	1	1	1	1	1
ABAT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	359.663222846161	349.862001574304	324.195644532419	448.91750777358	233.815511422679	1	1	1	1	1	1
ABCA5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	83.1909316274157	158.809615346843	282.544122616474	234.130567357488	82.897871556961	1	1	1	1	1	1
ABCA6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	214.511360083229	125.155352617909	271.896237310408	1	105.122202059351	1	1	1	1	1	1
ABCB1	1	138.329688259567	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	69.0887537459389	1	1	68.2884060328277	1	1	1	1	1	113.082328482659
ABCB4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	310.760399838873	358.1392123357	424.406547167345	271.728354569041	239.888319790427	1	1	1	75.6199811382679	1	1
ABCB9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	255.062528068754	1	1	1
ABCC1	1	1	1	1	1	1	92.6917717253534	1	145.480796169841	1	64.68964402953	1	99.089528075592	1	121.083796406662	1	70.135300523021	1	1	1	1	1	1	1	1	1	1	1	1
ABCC2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	132.93985524167	115.876894310837	176.263644104805	1	165.88993576648	1	1	1	1	1	1
ABCC5	1	1	1	1	1	1	63.7374442363103	1	1	37.9795281585699	1	1	101.653307674383	184.863016581518	1	1	135.997609492177	129.580044176658	1	1	1	1	1	1	1	1	1	1	1
ABCE1	1	1	88.0880394819	1	68.9200239312272	1	108.959900182295	1	71.9535864810426	1	104.879010198307	1	69.7822050770567	1	75.0229117780719	1	73.0741173046048	1	1	1	1	1	1	1	1	1	1	1	1
ABCG1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	153.259200178087	1	1	1	1	1	1	147.756487411994	1	1	1	1
ABHD12	1	1	1	1	1	1	81.0844212012779	1	59.4145229150312	134.98262003851	109.393342746783	95.7145760989601	168.223566818735	140.030898666822	65.2772958527029	1	197.924940875633	69.2343747116192	1	1	1	1	1	1	1	1	1	1	1
ABHD15	123.486541892186	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABHD3	1	1	1	1	1	1	50.0796361531419	1	49.8618851775424	1	70.0682081103522	1	56.7627811939866	1	37.3272474872155	1	60.9412114754371	1	1	1	1	1	1	1	1	1	1	1	1
ABHD5	1	1	1	1	1	1	59.0250297184068	123.080912025081	60.6846532524364	1	50.0416572196414	1	68.4721894106354	1	97.7192059310351	157.273682862251	75.3893565182262	1	1	1	1	1	1	1	1	1	1	1	1
ABI2	104.864063198722	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	137.148631503886	154.724017887242	1	1	1	98.700986839393
